Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,,Percent,80.0
2020,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,,Percent,79.0
2017,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,Rural,Percent,74.9
2020,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,Rural,Percent,75.0
2017,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,Urban,Percent,92.3
2020,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,,Urban,Percent,91.0
2017,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,Female,,Percent,82.0
2020,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,Female,,Percent,80.1
2017,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,Male,,Percent,78.9
2020,Normal value,Units,UNHS,Proportion of population using basic drinking water services [1.4.1],,Male,,Percent,77.5
2017,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,,Percent,92.8
2020,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,,Percent,95.0
2017,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,Rural,Percent,90.7
2020,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,Rural,Percent,97.0
2017,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,Urban,Percent,98.0
2020,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,,Urban,Percent,91.0
2017,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,Female,,Percent,91.5
2020,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,Female,,Percent,91.0
2017,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,Male,,Percent,93.3
2020,Normal value,Units,UNHS,Proportion of population using basic sanitation services [1.4.1],,Male,,Percent,94.0
