Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,Value
2015,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,60.7
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,61.5
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,60.0
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,62.8
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,62.9
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,67.2
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,68.7
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,60.6
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,63.2
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_P7,PT,68.65863487532533
2015,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,35.8
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,37.8
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,34.8
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,34.2
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,33.6
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,32.4
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,32.2
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,32.8
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,32.0
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,,_L_UG_S4,PT,38.33271243569275
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,63.4
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,60.0
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,65.8
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,66.5
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,72.2
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,72.5
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,64.3
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,67.4
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_P7,PT,74.50408766742042
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,36.0
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,33.5
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,33.9
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,33.9
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,32.7
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,32.2
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,33.4
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,33.0
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,F,_L_UG_S4,PT,41.51411914738568
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,59.7
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,59.3
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,59.5
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,59.4
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,62.0
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,65.0
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,57.0
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,59.1
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_P7,PT,63.2
2016,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,39.6
2017,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,36.2
2018,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,34.5
2019,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,33.4
2020,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,32.1
2022,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,32.1
2023,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,32.2
2024,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,31.0
2025,A,0,"Administrative data, NPHC 2024",SE_TOT_CPLR,,M,_L_UG_S4,PT,35.31408815903198
